"GeoFips,""GeoName"",""2000"""
"01000,""Alabama"",119242.4"
"02000,""Alaska"",26778.3"
"04000,""Arizona"",164611.6"
"05000,""Arkansas"",68770.0"
"06000,""California"",1366561.0"
"08000,""Colorado"",180605.5"
"09000,""Connecticut"",165898.7"
"10000,""Delaware"",43389.4"
"11000,""District of Columbia"",61095.5"
"12000,""Florida"",489488.1"
"13000,""Georgia"",307611.6"
"15000,""Hawaii"",41500.2"
"16000,""Idaho"",37992.8"
"17000,""Illinois"",487212.7"
"18000,""Indiana"",203052.9"
"19000,""Iowa"",93028.6"
"20000,""Kansas"",85853.2"
"21000,""Kentucky"",114293.2"
"22000,""Louisiana"",132809.9"
"23000,""Maine"",36841.0"
"24000,""Maryland"",192106.3"
"25000,""Massachusetts"",289926.5"
"26000,""Michigan"",351572.7"
"27000,""Minnesota"",189964.8"
"28000,""Mississippi"",65645.9"
"29000,""Missouri"",187296.8"
"30000,""Montana"",21885.2"
"31000,""Nebraska"",56503.7"
"32000,""Nevada"",76627.1"
"33000,""New Hampshire"",45225.5"
"34000,""New Jersey"",362006.9"
"35000,""New Mexico"",55232.9"
"36000,""New York"",838660.3"
"37000,""North Carolina"",275694.2"
"38000,""North Dakota"",17976.1"
"39000,""Ohio"",391137.8"
"40000,""Oklahoma"",90792.7"
"41000,""Oregon"",117258.3"
"42000,""Pennsylvania"",407652.8"
"44000,""Rhode Island"",34516.4"
"45000,""South Carolina"",115246.8"
"46000,""South Dakota"",22690.7"
"47000,""Tennessee"",181629.5"
"48000,""Texas"",738871.0"
"49000,""Utah"",70291.8"
"50000,""Vermont"",18311.9"
"51000,""Virginia"",266886.4"
"53000,""Washington"",237831.8"
"54000,""West Virginia"",42606.9"
"55000,""Wisconsin"",180539.0"
"56000,""Wyoming"",17205.4"
